condition,audio,audio-control,visual,visual-control,tactile,tactile-control,audio-visual,visual-audio,tactile-visual,visual-tactile,tactile-audio,audio-tactile,face-other,body-other,body-non_face,animate-inanimate,monkey_speech-other,speech-other,speech+voice-other,,,,,
audio_monkey,1,1,,,,,5,-5,,,-1,1,,,,,6,-1,-2,,,,,
audio_animal,1,1,,,,,5,-5,,,-1,1,,,,,-1,-1,-2,,,,,
audio_nature,1,1,,,,,5,-5,,,-1,1,,,,,-1,-1,-2,,,,,
audio_silence,,-6,,-10,,,,,,,,,,,,,-1,-1,-2,,,,,
audio_speech,1,1,,,,,5,-5,,,-1,1,,,,,-1,6,5,,,,,
audio_tools,1,1,,,,,5,-5,,,-1,1,,,,,-1,-1,-2,,,,,
audio_voice,1,1,,,,,5,-5,,,-1,1,,,,,-1,-1,5,,,,,
tactile_bottom,,,,,1,1,,,10,-10,2,-2,,,,,,,,,,,,
tactile_middle,,,,,1,1,,,10,-10,2,-2,,,,,,,,,,,,
tactile_top,,,,,1,1,,,10,-10,2,-2,,,,,,,,,,,,
tactile_novalve,,,,,,-3,,,,,,,,,,,,,,,,,,
image_animals,,,1,1,,,-3,3,-3,3,,,-1,-1,-2,2,,,,,,,,
image_birds,,,1,1,,,-3,3,-3,3,,,-1,-1,-2,2,,,,,,,,
image_fruits,,,1,1,,,-3,3,-3,3,,,-1,-1,-2,-3,,,,,,,,
image_human_body,,,1,1,,,-3,3,-3,3,,,-1,4,3,2,,,,,,,,
image_human_face,,,1,1,,,-3,3,-3,3,,,4,-1,3,2,,,,,,,,
image_human_object,,,1,1,,,-3,3,-3,3,,,-1,-1,-2,-3,,,,,,,,
image_monkey_body,,,1,1,,,-3,3,-3,3,,,-1,4,3,2,,,,,,,,
image_monkey_face,,,1,1,,,-3,3,-3,3,,,4,-1,3,2,,,,,,,,
image_monkey_object,,,1,1,,,-3,3,-3,3,,,-1,-1,-2,-3,,,,,,,,
image_sculpture,,,1,1,,,-3,3,-3,3,,,-1,-1,-2,-3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1
