HCP task,HCP name,IBC task,IBC name
EMOTION,FACES-SHAPES,HcpEmotion,face-shape
LANGUAGE,STORY-MATH,HcpLanguage,story-math
RELATIONAL,REL-MATCH,HcpRelational,relational-match
GAMBLING,PUNISH-REWARD,HcpGambling,punishment-reward
SOCIAL,TOM-RANDOM,HcpSocial,mental-random
WM,0BK-2BK,HcpWm,2back-0back
WM,PLACE-AVG,HcpWm,place-avg
WM,TOOL-AVG,HcpWm,tools-avg
WM,FACE-AVG,HcpWm,face-avg
WM,BODY-AVG,HcpWm,body-avg
MOTOR,LF-AVG,HcpMotor,left_foot-avg
MOTOR,RF-AVG,HcpMotor,right_foot-avg
MOTOR,LH-AVG,HcpMotor,left_hand-avg
MOTOR,RH-AVG,HcpMotor,right_hand-avg
MOTOR,T-AVG,HcpMotor,tongue-avg
